JDK         | OpenJDK | OracleJDK | Temurin
JDK-8299158 | N       | N         | Y      
JDK-8299162 | N       | N         | Y      
JDK-8299168 | N       | N         | Y      
JDK-8299172 | N       | N         | Y      
JDK-8299179 | N       | N         | Y      
JDK-8299183 | N       | N         | Y      
JDK-8299187 | N       | N         | Y      
JDK-8299191 | N       | N         | Y      
JDK-8299193 | N       | N         | Y      
JDK-8299194 | N       | N         | Y      
JDK-8299199 | N       | N         | Y      
JDK-8299207 | N       | N         | Y      
JDK-8299213 | N       | N         | Y      
JDK-8299224 | N       | N         | Y      
JDK-8299227 | N       | N         | Y      
JDK-8299229 | N       | N         | Y      
JDK-8299230 | N       | N         | Y      
JDK-8299234 | N       | N         | Y      
JDK-8299235 | N       | N         | Y      
JDK-8299237 | N       | N         | Y      
JDK-8299240 | N       | N         | Y      
JDK-8299241 | N       | N         | Y      
JDK-8299254 | N       | N         | Y      
JDK-8299255 | N       | N         | Y      
JDK-8299259 | N       | N         | Y      
JDK-8299260 | N       | N         | Y      
JDK-8299261 | N       | N         | Y      
JDK-8299274 | N       | N         | Y      
JDK-8299275 | N       | N         | Y      
JDK-8299278 | N       | N         | Y      
JDK-8299292 | N       | N         | Y      
JDK-8299296 | N       | N         | Y      
JDK-8299306 | N       | N         | Y      
JDK-8299309 | N       | N         | Y      
JDK-8299312 | N       | N         | Y      
JDK-8299323 | N       | N         | Y      
JDK-8299324 | N       | N         | Y      
JDK-8299325 | N       | N         | Y      
JDK-8299326 | N       | N         | Y      
JDK-8299327 | N       | N         | Y      
JDK-8299329 | N       | N         | Y      
JDK-8299330 | N       | N         | Y      
JDK-8299333 | N       | N         | Y      
JDK-8299336 | N       | N         | Y      
JDK-8299337 | N       | N         | Y      
JDK-8299338 | N       | N         | Y      
JDK-8299340 | N       | N         | Y      
JDK-8299343 | N       | N         | Y      
JDK-8299375 | N       | N         | Y      
JDK-8299378 | N       | N         | Y      
JDK-8299387 | N       | N         | Y      
JDK-8299388 | N       | N         | Y      
JDK-8299395 | N       | N         | Y      
JDK-8299396 | N       | N         | Y      
JDK-8299397 | N       | N         | Y      
JDK-8299398 | N       | N         | Y      
JDK-8299399 | N       | N         | Y      
JDK-8299402 | N       | N         | Y      
JDK-8299412 | N       | N         | Y      
JDK-8299414 | N       | N         | Y      
JDK-8299424 | N       | N         | Y      
JDK-8299425 | N       | N         | Y      
JDK-8299430 | N       | N         | Y      
JDK-8299437 | N       | N         | Y      
JDK-8299439 | N       | N         | Y      
JDK-8299441 | N       | N         | Y      
JDK-8299444 | N       | N         | Y      
JDK-8299470 | N       | N         | Y      
JDK-8299475 | N       | N         | Y      
JDK-8299476 | N       | N         | Y      
JDK-8299479 | N       | N         | Y      
JDK-8299481 | N       | N         | Y      
JDK-8299482 | N       | N         | Y      
JDK-8299483 | N       | N         | Y      
JDK-8299494 | N       | N         | Y      
JDK-8299497 | N       | N         | Y      
JDK-8299498 | N       | N         | Y      
JDK-8299499 | N       | N         | Y      
JDK-8299500 | N       | N         | Y      
JDK-8299501 | N       | N         | Y      
JDK-8299502 | N       | N         | Y      
JDK-8299505 | N       | N         | Y      
