issue_id,release,impact_status,feature_area,highlight_tags,action_required,impact_notes,applied_rules,summary,components,subcomponents,labels,fix_versions
JDK-8343301,21.0.6,needs_review,runtime_core,,要確認,,,[s390x] TestOSRLotsOfLocals.java crashes,hotspot,compiler,,21.0.6
JDK-8343302,21.0.6,excluded,test_infra,test_infra,対応不要,"keywords=jtreg,test",doc_or_test,Some tests have name which confuse jtreg,tools,,,21.0.6
JDK-8343303,21.0.6,needs_review,classlib,,要確認,,,ConfigureNotify behavior has changed in KWin 6.2,client-libs,,,21.0.6
JDK-8343348,21.0.6,needs_review,classlib,,要確認,,,Hide PassFailJFrame.Builder constructor,client-libs,,,21.0.6
JDK-8343349,21.0.6,needs_review,runtime_core,,要確認,,,C2: assert(!loop->is_member(get_loop(useblock))) failed: must be outside loop,hotspot,compiler,,21.0.6
JDK-8343350,21.0.6,needs_review,security,,要確認,,,Test sun/security/pkcs11/sslecc/ClientJSSEServerJSSE.java failed with: Invalid ECDH ServerKeyExchange signature,security-libs,javax.crypto:pkcs11,,21.0.6
JDK-8343351,21.0.6,excluded,classlib,,対応不要,targets=macos,non_windows11_platform,"Select{Current,New}ItemTest.java for Choice don't open popup on macOS",client-libs,java.awt,,21.0.6
JDK-8343353,21.0.6,needs_review,classlib,,要確認,,,Add positionTestUI() to PassFailJFrame.Builder,client-libs,java.awt,,21.0.6
JDK-8343354,21.0.6,needs_review,interop,,要確認,,,Add extra diagnostic to java/net/InetAddress/ptr/Lookup.java,core-libs,java.net,,21.0.6
JDK-8343356,21.0.6,needs_review,classlib,,要確認,,,Add border around instructions in PassFailJFrame,client-libs,,,21.0.6
JDK-8343357,21.0.6,needs_review,classlib,,要確認,,,PassFailJFrame: Make rows default to number of lines in instructions,client-libs,,,21.0.6
JDK-8343360,21.0.6,needs_review,classlib,,要確認,,,Amend description for logArea,client-libs,,,21.0.6
JDK-8343362,21.0.6,needs_review,classlib,,要確認,,,Position the first window of a window list,client-libs,,,21.0.6
JDK-8343363,21.0.6,needs_review,classlib,,要確認,,,Reading from an input stream backed by a closed ZipFile has no test coverage,core-libs,java.util,,21.0.6
JDK-8343364,21.0.6,needs_review,classlib,,要確認,,,Remove wildcard bound in PositionWindows.positionTestWindows,client-libs,,,21.0.6
JDK-8343368,21.0.6,needs_review,interop,,要確認,,,Add some additional diagnostic output to java/net/ipv6tests/UdpTest.java,core-libs,java.net,,21.0.6
JDK-8343371,21.0.6,needs_review,classlib,,要確認,,,Add description for PassFailJFrame constructors,client-libs,,,21.0.6
JDK-8343425,21.0.6,needs_review,test_infra,,要確認,,,GHA: RISC-V: Bootstrap using Debian snapshot is still failing,infrastructure,build,,21.0.6
JDK-8343464,21.0.6,needs_review,classlib,,要確認,,,ClassicFormat::parseObject (from DateTimeFormatter) does not conform to the javadoc and may leak DateTimeException,core-libs,java.time,,21.0.6
JDK-8343474,21.0.6,excluded,test_infra,,対応不要,keywords=test; labels=noreg-doc,doc_or_test,[updates] Customize README.md to specifics of update project,infrastructure,other,"jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,noreg-doc",21.0.6
JDK-8343514,21.0.6,needs_review,security,,要確認,,,Add a Test against ECDSA and ECDH NIST Test vector,security-libs,java.security,,21.0.6
JDK-8343515,21.0.6,needs_review,compiler_tools,,要確認,,,JLinkReproducibleTest.java support receive test.tool.vm.opts,tools,jlink,,21.0.6
JDK-8343518,21.0.6,needs_review,classlib,,要確認,,,Provide layouts for multiple test UI in PassFailJFrame,client-libs,,,21.0.6
JDK-8343519,21.0.6,needs_review,classlib,,要確認,,,Update description of PassFailJFrame and samples,client-libs,,,21.0.6
JDK-8343520,21.0.6,needs_review,runtime_core,,要確認,,,Repeated call of StringBuffer.reverse with double byte string returns wrong result,hotspot,compiler,,21.0.6
JDK-8343524,21.0.6,needs_review,runtime_core,,要確認,,,"C2 compilation asserts with ""no node with a side effect"" in PhaseIdealLoop::try_sink_out_of_loop",hotspot,compiler,,21.0.6
JDK-8343538,21.0.6,excluded,runtime_core,,対応不要,keywords=\bshenandoah\b,gc_related,C2/Shenandoah: SEGV in compiled code when running jcstress,hotspot,compiler,,21.0.6
JDK-8343591,21.0.6,excluded,gc,,対応不要,component=hotspot/gc,gc_related,ubsan: shenandoahFreeSet.cpp:1347:24: runtime error: division by zero,hotspot,gc,,21.0.6
JDK-8343602,21.0.6,needs_review,runtime_core,,要確認,,,java/lang/management/ThreadMXBean/Locks.java transient failures,core-svc,java.lang.management,,21.0.6
JDK-8343611,21.0.6,needs_review,classlib,,要確認,,,Acknowledge case insensitive unambiguous keywords in tzdata files,core-libs,java.time,,21.0.6
JDK-8343612,21.0.6,needs_review,classlib,,要確認,,,LambdaForm customization via MethodHandle::updateForm is not thread safe,core-libs,java.lang.invoke,,21.0.6
JDK-8343613,21.0.6,needs_review,classlib,,要確認,,,Add border inside instruction frame in PassFailJFrame,client-libs,,,21.0.6
JDK-8343614,21.0.6,needs_review,classlib,,要確認,,,Improve default instruction frame title in PassFailJFrame,client-libs,,,21.0.6
JDK-8343645,21.0.6,excluded,gc,,対応不要,component=hotspot/gc,gc_related,TestLoadBypassesNullCheck.java fails improperly specified VM option,hotspot,gc,,21.0.6
JDK-8343746,21.0.6,needs_review,classlib,,要確認,,,ProblemList BasicDirectoryModel/LoaderThreadCount.java on Windows,client-libs,,,21.0.6
JDK-8343828,21.0.6,needs_review,classlib,,要確認,,,generic type information lost on mandated parameters of record's compact constructors,core-libs,java.lang:reflect,,21.0.6
JDK-8343908,21.0.6,needs_review,runtime_core,,要確認,,,"jvmti/StopThread/stopthrd007 failed with ""NoClassDefFoundError: Could not initialize class jdk.internal.misc.VirtualThreads""",hotspot,jvmti,,21.0.6
JDK-8343909,21.0.6,needs_review,runtime_core,,要確認,,,runtime/cds/appcds/ProhibitedPackage.java can fail with UseLargePages,hotspot,runtime,,21.0.6
JDK-8343910,21.0.6,needs_review,classlib,,要確認,,,Simplify TrayIconScalingTest.java,client-libs,java.awt,,21.0.6
JDK-8343912,21.0.6,needs_review,runtime_core,,要確認,,,"JDI stopListening/stoplis001 ""FAILED: listening is successfully stopped without starting listening""",core-svc,debugger,,21.0.6
JDK-8343913,21.0.6,needs_review,security,,要確認,,,Have SSLSocketTemplate.doClientSide use loopback address,security-libs,java.security,,21.0.6
JDK-8343914,21.0.6,needs_review,runtime_core,,要確認,,,Update nsk.share.Log to don't print summary during VM shutdown hook,hotspot,test,,21.0.6
JDK-8343919,21.0.6,needs_review,runtime_core,,要確認,,,vmTestbase/nsk/jdb/kill/kill001/kill001.java fails with C1,core-svc,debugger,,21.0.6
JDK-8343920,21.0.6,needs_review,runtime_core,,要確認,,,compiler/c1/TestTraceLinearScanLevel.java occasionally times out with -Xcomp,hotspot,compiler,,21.0.6
JDK-8343927,21.0.6,needs_review,security,,要確認,,,Replace hardcoded security providers with new test.provider.name system property,security-libs,java.security,,21.0.6
