issue_id,release,impact_status,feature_area,highlight_tags,action_required,impact_notes,applied_rules,summary,components,subcomponents,labels,fix_versions
JDK-8354165,21.0.8,needs_review,runtime_core,,要確認,,,compiler/vectorization/TestFloat16VectorConvChain.java fails with non-standard AVX/SSE settings,hotspot,compiler,,21.0.8
JDK-8354185,21.0.8,needs_review,classlib,,要確認,,,Opensource five miscellaneous Swing tests,client-libs,javax.swing,,21.0.8
JDK-8354197,21.0.8,needs_review,runtime_core,,要確認,,,compiler/vectorization/TestFloat16VectorConvChain.java  timeouts on ppc64 platforms after JDK-8335860,hotspot,compiler,,21.0.8
JDK-8354199,21.0.8,needs_review,classlib,,要確認,,,java/awt/Cursor/JPanelCursorTest/JPanelCursorTest.java does not show the default cursor,client-libs,java.awt,,21.0.8
JDK-8354201,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source AWT Frame related tests,client-libs,java.awt,,21.0.8
JDK-8354202,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT focus tests - series 6,client-libs,java.awt,,21.0.8
JDK-8354203,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source few more AWT List tests,client-libs,java.awt,,21.0.8
JDK-8354206,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source additional Component tests (part 2),client-libs,java.awt,,21.0.8
JDK-8354207,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source some MenuBar tests - Set2,client-libs,java.awt,,21.0.8
JDK-8354208,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT Dialog tests - Batch 2,client-libs,java.awt,,21.0.8
JDK-8354267,21.0.8,needs_review,interop,,要確認,,,"java/net/httpclient/ShutdownNow.java fails with java.lang.AssertionError: client was still running, but exited after further delay: timeout should be adjusted",core-libs,java.net,,21.0.8
JDK-8354349,21.0.8,needs_review,interop,,要確認,,,Several java/net/InetAddress tests fails UnknownHostException,core-libs,java.net,,21.0.8
JDK-8354367,21.0.8,needs_review,runtime_core,,要確認,,,java/lang/instrument/modules/AppendToClassPathModuleTest.java ignores VM flags,core-svc,java.lang.instrument,,21.0.8
JDK-8354369,21.0.8,needs_review,classlib,,要確認,,,"javax/swing/JFileChooser/JFileChooserSetLocationTest.java failed with ""setLocation() is not working properly""",client-libs,javax.swing,,21.0.8
JDK-8354373,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT List tests,client-libs,java.awt,,21.0.8
JDK-8354374,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source few more AWT FileDialog tests,client-libs,java.awt,,21.0.8
JDK-8354375,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several Choice related tests,client-libs,java.awt,,21.0.8
JDK-8354377,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source few Checkbox tests - Set2,client-libs,java.awt,,21.0.8
JDK-8354378,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,open source some 2d graphics tests,client-libs,2d,,21.0.8
JDK-8354379,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source some of the AWT window test,client-libs,java.awt,,21.0.8
JDK-8354384,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source few various AWT tests - Set1,client-libs,java.awt,,21.0.8
JDK-8354385,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source some MenuBar tests - Set1,client-libs,java.awt,,21.0.8
JDK-8354422,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT Mouse tests - Batch 1,client-libs,java.awt,,21.0.8
JDK-8354423,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source few DND tests - Set1,client-libs,java.awt,,21.0.8
JDK-8354425,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT Canvas and Rectangle related tests,client-libs,java.awt,,21.0.8
JDK-8354429,21.0.8,needs_review,interop,,要確認,,,(ch) sun.nio.ch.Poller.register throws AssertionError,core-libs,java.nio,,21.0.8
JDK-8354444,21.0.8,needs_review,runtime_core,,要確認,,,Hotspot should support multiple large page sizes on Windows,hotspot,runtime,,21.0.8
JDK-8354494,21.0.8,needs_review,test_infra,,要確認,,,Debug symbols bundle should contain full debug files when building --with-external-symbols-in-bundles=public,infrastructure,build,,21.0.8
JDK-8354528,21.0.8,needs_review,runtime_core,,要確認,,,Integer.numberOfLeadingZeros outputs incorrectly in certain cases,hotspot,compiler,,21.0.8
JDK-8354533,21.0.8,needs_review,classlib,,要確認,,,"Writer not closed with disk full error, file resource leaked",core-libs,java.io,,21.0.8
JDK-8354633,21.0.8,needs_review,classlib,,要確認,,,Convert Applet test ManualHTMLDataFlavorTest.java to main program,client-libs,java.awt,,21.0.8
JDK-8354635,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source closed frame tests # 5,client-libs,java.awt,,21.0.8
JDK-8354638,21.0.8,needs_review,classlib,,要確認,,,java/awt/dnd/DnDRemoveFocusOwnerCrashTest.java timed out after JDK-8341257,client-libs,java.awt,,21.0.8
JDK-8354640,21.0.8,needs_review,security,,要確認,,,javax/management/security/HashedPasswordFileTest.java creates tmp file in src dir,core-svc,javax.management,,21.0.8
JDK-8354648,21.0.8,needs_review,classlib,,要確認,,,javax/swing/JMenu/4213634/bug4213634.java fails,client-libs,javax.swing,,21.0.8
JDK-8354649,21.0.8,excluded,classlib,,対応不要,targets=macos,non_windows11_platform,"[Accessibility,macOS,VoiceOver] VoiceOver reads the spinner value 10 as 1 when user iterates to 10 for the first time on macOS",client-libs,javax.accessibility,,21.0.8
JDK-8354654,21.0.8,needs_review,classlib,,要確認,,,"Screen capture for test TaskbarPositionTest.java, failure case",client-libs,,,21.0.8
JDK-8354786,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source few TrayIcon tests - Set7,client-libs,java.awt,,21.0.8
JDK-8354787,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT Mouse tests - Batch 2,client-libs,java.awt,,21.0.8
JDK-8354788,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT Dialog tests - Batch 1,client-libs,java.awt,,21.0.8
JDK-8354790,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT Dialog tests - Batch 3,client-libs,java.awt,,21.0.8
JDK-8354893,21.0.8,needs_review,compiler_tools,performance_regression,要確認,,,[REDO BACKPORT] javac crashes while adding type annotations to the return type of a constructor (JDK-8320001),tools,javac,"22-na,jdk21u-fix-request,jdk21u-fix-yes",21.0.8
JDK-8354923,21.0.8,needs_review,compiler_tools,,要確認,,,Type annotation attached to incorrect type during class reading,tools,javac,,21.0.8
JDK-8355035,21.0.8,needs_review,interop,,要確認,,,HTTP/2 ConnectionWindowUpdateSender may miss some unprocessed DataFrames from closed streams,core-libs,java.net,,21.0.8
JDK-8355057,21.0.8,needs_review,compiler_tools,,要確認,,,CompletionFailure in getEnclosingType attaching type annotations,tools,javac,,21.0.8
JDK-8355100,21.0.8,needs_review,classlib,,要確認,,,Enhance checks in BigDecimal.toPlainString(),core-libs,java.math,,21.0.8
JDK-8355112,21.0.8,needs_review,classlib,,要確認,,,java/util/Properties/StoreReproducibilityTest.java times out,core-libs,java.util,,21.0.8
JDK-8355117,21.0.8,needs_review,runtime_core,,要確認,,,Test ThreadCpuTime.java should pause like ThreadCpuTimeArray.java,core-svc,java.lang.management,,21.0.8
